Title	Translated/Adapted by	Based on	Type	Publisher	Year	Edition	Name of the edition	Volume of the edition	Number of pages	Source of information
Mladší Robinson.	not specified	German adaptation by Joachim Heinrich Campe	German adaptation	Kutná Hora: František Korec, 1797	1797				not specified (Hlinka)	Bohuslav Hlinka
Mladší Robinzon.	Václav Rodomil Kramerius	German adaptation by Joachim Heinrich Campe	German adaptation	Prague: Kramerius, 1808	1808				not specified (Hlinka)	Bohuslav Hlinka
Nejstarší Robinzon, jeho štastné a neštastné příhody.	Václav Rodomil Kramerius	German adaptation by Joachim Heinrich Campe	German adaptation	Jindřichův Hradec: Al. J. Landfras and Son, 1832	1832				334	card catalogue of the National library of Prague
Robinson Mladší.	not specified	German adaptation by Joachim Heinrich Campe	German adaptation	Prague: Martin Neureutter, 1838	1838				329	electronic catalogue of the National library of Prague
Robinson: Obraz ze života pro mládež i pro dospělé.	not specified		not specified	Skalice: Fr. Xav. Škarnycl, 1869 	1869	[1st]			192	card catalogue of the Moravian library of Brno²
Robinson Crusoe: Příběhy dobrodružného jinocha na pustém ostrově.	Václav Leopold Moser	German adaptation by Gustav Adolf Gräbner	German adaptation	Prague: Mikuláš and Knapp, 1870	1870	1st			351	card catalogue of the National library of Prague, and Hardin Craig
Robinson: Obraz ze života pro mládež i pro dospělé.	Pavel Josef Šulc	[German adaptation(s)]	German adaptation	Prague: B. Stýblo, the year not specified [before 1872]	1872	"""new"" [1st from B. Stýblo]"			166	card catalogue of the National library of Prague²
Robinson: Obraz ze života pro mládež i dospělé.	Pavel Josef Šulc	[German adaptation(s)]	German adaptation	Prague: B. Stýblo, 1872, reprint later (the year of it not specified)	1872	2nd revised			156	card catalogue of the National library of Prague²
Robinson: Obraz ze života pro mládež i pro dospělé.	not specified		not specified	Skalice: Fr. Xav. Škarnycl, 1874 	1874	2nd 			191	card catalogue of the Moravian library of Brno, and Hardin Craig²
Podivuhodné příhody Robinsona na pustém ostrově.	not specified	German adaptation by Gustav Adolf Gräbner	German adaptation	Prague: Mikuláš and Knapp, 1874	1874	[1st]	Besedy pro mládež	75, 76	127+123	card catalogue of the National library of Prague, and Hardin Craig²
Robinson Crusoe: Příběhy dobrodružného jinocha na pustém ostrově.	Václav Leopold Moser	German adaptation by Gustav Adolf Gräbner	German adaptation	Prague: M. Knapp, 1879	1879	2nd			not specified (Craig)	Hardin Craig
Robinson.	Antonín Mojžíš	German adaptation by Joachim Heinrich Campe	German adaptation	Prague: A. Hynek, 1884	1884				84	card catalogue of the National library of Prague
Malý Robinson.	Pavel Josef Šulc		not specified	Prague: A. Hynek, 1885	1885		Dětská bibliotéka	8	64	card catalogue of the National library of Prague
